"","ID","language","channel","country","age","dev.environment","app.type","mobile.os","desktop.os","programming.language.migrate","programming.language.primary","unit.testing","database","database.migrate","database.host","tool.usage"
"446",4984,"Spanish","external","Mexico","21-29","macOS","Web Back-end","Android","Windows","Go","Java","Yes, I write unit tests","DB2","Cassandra","Locally","All day long"
"447",4988,"German","internal","Austria","30-39","Windows","Mobile","Android","Windows","C","C#","Yes, I write unit tests","MS SQL Server","SQLite","Locally","All day long"
"448",4999,"German","external","Germany","30-39","macOS","Web Back-end","Android","Unix / Linux","Swift","Java","Yes, I write unit tests","MySQL","MongoDB","Locally","Several times a day"
"449",5012,"Spanish","external","Argentina","17 or younger","Windows","Mobile","Android","Windows","C++","Java","Yes, I write unit tests","MySQL","No, not planning to adopt / migrate","Locally","Never"
"450",5013,"English","external","Mexico","30-39","Windows","Web Back-end","Android","Windows","No, not planning to adopt / migrate","C++","Yes, I write unit tests","MySQL","No, not planning to adopt / migrate","Locally","All day long"
"451",5023,"English","internal","United States","21-29","Windows","Web Back-end","Windows","Windows","Scala","Java","Yes, I write unit tests","MySQL","MongoDB","Locally","All day long"
"452",5029,"English","internal","Sweden","50-59","macOS","Mobile","iOS","macOS","Java","Objective-C","Yes, I write unit tests","SQLite","No, not planning to adopt / migrate","Locally","Less frequently"
"453",5030,"German","internal","Germany","21-29","Windows","Web Back-end","Android","Windows","Go","PHP","Yes, I write unit tests","MS SQL Server","No, not planning to adopt / migrate","Locally","Several times a day"
"454",5032,"Russian","external","Russia","21-29","Windows","Web Back-end","Android","Windows","C++","Java","No","MySQL","Oracle Database","Private Servers","Several times a week"
"455",5041,"Spanish","external","Mexico","21-29","Windows","Mobile","Android","Windows","PHP","Java","No","MS SQL Server","Oracle Database","Locally","Several times a day"
"456",5050,"English","internal","Germany","18-20","Windows","Mobile","Android","Windows","C++","Java","Yes, I write unit tests","SQLite","No, not planning to adopt / migrate","Locally","All day long"
"457",5063,"English","internal","Czech Republic","30-39","Windows","Web Back-end","Android","Windows","Kotlin","Java","Yes, I write unit tests","MS SQL Server","MongoDB","Locally","Several times a day"
"458",5077,"English","internal","India","30-39","Windows","Web Back-end","Android","Windows","SQL","C#","Yes, I write unit tests","MS SQL Server","SQLite","Private Servers","Several times a day"
"459",5080,"Turkish","external","Turkey","21-29","Windows","Web Back-end","Windows","Windows","Swift","Java","No","MySQL","No, not planning to adopt / migrate","Locally","Several times a week"
"460",5087,"English","external","Canada","21-29","Windows","Web Back-end","iOS","Windows","Scala","JavaScript","Yes, I write unit tests","Oracle Database","Redis","Locally","Several times a day"
"461",5120,"English","internal","United States","40-49","Windows","Web Back-end","Android","Windows","No, not planning to adopt / migrate","C#","Yes, I write unit tests","MS SQL Server","No, not planning to adopt / migrate","Locally","All day long"
"462",5146,"English","external","Canada","21-29","Windows","Web Back-end","Android","Windows","Ruby","PHP","Yes, I use unit tests, but I don't write them","MySQL","DB2","Locally","Several times a week"
"463",5150,"English","internal","United States","30-39","Windows","Web Back-end","Android","Windows","No, not planning to adopt / migrate","C#","Yes, I write unit tests","MS SQL Server","Yes, planning to adopt / migrate to other database(s) - Write in:","Locally","Several times a week"
"464",5170,"Turkish","internal","Turkey","21-29","Windows","Web Back-end","Windows","Windows","C++","C#","No","MS SQL Server","No, not planning to adopt / migrate","Private Servers","All day long"
"465",5171,"English","external","Germany","17 or younger","Windows","Web Back-end","Android","Windows","Scala","Java","Yes, I write unit tests","MySQL","SQLite","Locally","Several times a week"
"466",5186,"English","external","United States","50-59","Windows","Web Back-end","Android","Windows","No, not planning to adopt / migrate","C++","Yes, I write unit tests","MS SQL Server","No, not planning to adopt / migrate","Locally","All day long"
"467",5192,"English","external","Canada","50-59","Windows","Web Back-end","Android","Windows","No, not planning to adopt / migrate","Scala","Yes, I write unit tests","MS SQL Server","No, not planning to adopt / migrate","Locally","Several times a day"
"468",5204,"English","internal","United States","30-39","Windows","Web Back-end","Windows","Windows","No, not planning to adopt / migrate","C#","Yes, I write unit tests","MS SQL Server","No, not planning to adopt / migrate","Locally","Less frequently"
"469",5205,"English","internal","United States","30-39","Unix / Linux","Web Back-end","Windows","Windows","R","Go","Yes, I write unit tests","MySQL","No, not planning to adopt / migrate","Locally","All day long"
"470",5228,"English","internal","United States","21-29","Windows","Web Back-end","Android","Windows","C++","C#","Yes, I write unit tests","MySQL","No, not planning to adopt / migrate","Locally","All day long"
"471",5233,"English","internal","United States","30-39","Windows","Web Back-end","Android","Windows","No, not planning to adopt / migrate","JavaScript","Yes, I write unit tests","MS SQL Server","No, not planning to adopt / migrate","Locally","All day long"
"472",5240,"Portuguese","external","Brazil","30-39","Unix / Linux","Web Front-end","Android","Windows","Java","JavaScript","No","MySQL","No, not planning to adopt / migrate","Other - Write In:","Several times a day"
"473",5267,"Spanish","external","Argentina","40-49","Windows","Mobile","Windows","Windows","JavaScript","Visual Basic","Yes, I write unit tests","MS SQL Server","SQLite","Locally","Several times a day"
"474",5272,"Russian","external","Ukraine","30-39","Windows","Web Back-end","Android","Windows","Swift","JavaScript","Yes, I write unit tests","MySQL","Redis","Locally","All day long"
"475",5274,"English","internal","Germany","21-29","Windows","Web Back-end","Windows","Windows","TypeScript","C#","Yes, I write unit tests","MS SQL Server","No, not planning to adopt / migrate","Locally","Several times a day"
"476",5277,"English","external","Ukraine","21-29","macOS","Mobile","Android","macOS","No, not planning to adopt / migrate","Objective-C","Yes, I write unit tests","SQLite","No, not planning to adopt / migrate","Locally","All day long"
"477",5280,"English","external","Turkey","30-39","Windows","Web Back-end","Windows","Windows","Python","C++","Yes, I write unit tests","MS SQL Server","Oracle Database","Locally","Several times a day"
"478",5291,"English","external","Germany","21-29","Unix / Linux","Web Back-end","Android","Windows","Go","Java","Yes, I write unit tests","MS SQL Server","No, not planning to adopt / migrate","Private Servers","All day long"
"479",5310,"English","external","Japan","21-29","Windows","Web Back-end","Android","Windows","No, not planning to adopt / migrate","TypeScript","Yes, I write unit tests","MongoDB","No, not planning to adopt / migrate","Locally","All day long"
"480",5340,"English","internal","United States","40-49","Windows","Web Back-end","Windows","Windows","No, not planning to adopt / migrate","Java","No","PostgreSQL","No, not planning to adopt / migrate","Locally","Less frequently"
"481",5347,"English","external","Russia","21-29","Windows","Mobile","Android","Windows","C#","Java","Yes, I write unit tests","PostgreSQL","MongoDB","Locally","All day long"
"482",5357,"Turkish","external","Turkey","21-29","Windows","Web Back-end","Android","Windows","Python","C#","Yes, I write unit tests","MS SQL Server","SQLite","Locally","All day long"
"483",5364,"English","external","United States","30-39","Windows","Web Back-end","Android","Windows","No, not planning to adopt / migrate","C#","No","MS SQL Server","No, not planning to adopt / migrate","Locally","All day long"
"484",5388,"Polish","external","Poland","30-39","Windows","Web Back-end","Android","Unix / Linux","No, not planning to adopt / migrate","Java","Yes, I write unit tests","MS SQL Server","No, not planning to adopt / migrate","Locally","All day long"
"485",5403,"English","external","Norway","30-39","Windows","Web Back-end","iOS","Windows","Python","Ruby","Yes, I write unit tests","Oracle Database","No, not planning to adopt / migrate","Locally","Several times a day"
"486",5410,"Spanish","external","Argentina","30-39","Windows","Web Back-end","Windows","Windows","No, not planning to adopt / migrate","Java","No","MS SQL Server","No, not planning to adopt / migrate","Private Servers","Less frequently"
"487",5411,"German","internal","Germany","17 or younger","Windows","Web Back-end","Android","Windows","Haskell","Java","Yes, I write unit tests","PostgreSQL","No, not planning to adopt / migrate","Locally","Several times a week"
"488",5421,"English","internal","Suriname","30-39","Windows","Web Back-end","Windows","Windows","Python","PHP","Yes, I use unit tests, but I don't write them","MySQL","Yes, planning to adopt / migrate to other database(s) - Write in:","Locally","Several times a day"
"489",5423,"Spanish","external","Mexico","18-20","Windows","Web Front-end","Android","Windows","No, not planning to adopt / migrate","C++","Yes, I use unit tests, but I don't write them","Other - Write In:","No, not planning to adopt / migrate","Private Servers","All day long"
"490",5435,"English","external","Sweden","18-20","Windows","Web Back-end","Android","Windows","Swift","Java","Yes, I write unit tests","MySQL","Cassandra","Amazon Web Services","Several times a day"
"491",5438,"English","internal","United States","50-59","Windows","Web Back-end","Windows","Windows","Go","Scala","Yes, I write unit tests","MySQL","PostgreSQL","Private Servers","All day long"
"492",5444,"Ukrainian","external","Ukraine","30-39","Windows","Web Back-end","Windows","Windows","Go","C#","Yes, I write unit tests","MS SQL Server","Oracle Database","Locally","Several times a week"
"493",5454,"English","external","Turkey","30-39","Windows","Web Back-end","Windows","Windows","Go","C#","Yes, I use unit tests, but I don't write them","MS SQL Server","MySQL","Locally","All day long"
"494",5467,"English","internal","Indonesia","30-39","Windows","Mobile","Windows","Windows","C++","C#","Yes, I write unit tests","MS SQL Server","PostgreSQL","Locally","Less frequently"
"495",5473,"Chinese (s","external","China","30-39","Windows","Web Back-end","Windows","Windows","No, not planning to adopt / migrate","Python","Yes, I write unit tests","PostgreSQL","No, not planning to adopt / migrate","Locally","All day long"
"496",5474,"English","external","Germany","40-49","Windows","Web Back-end","Windows","Windows","No, not planning to adopt / migrate","C#","No","MS SQL Server","MongoDB","Locally","Several times a week"
"497",5477,"English","external","United States","30-39","macOS","Web Back-end","Android","Unix / Linux","Swift","JavaScript","Yes, I write unit tests","MySQL","No, not planning to adopt / migrate","Amazon Web Services","All day long"
"498",5478,"English","internal","Slovenia","21-29","Windows","Web Back-end","Windows","Windows","No, not planning to adopt / migrate","JavaScript","Yes, I write unit tests","MySQL","Redis","Locally","Several times a week"
"499",5485,"Russian","internal","Russia","30-39","Windows","Web Back-end","Android","Windows","No, not planning to adopt / migrate","C#","Yes, I write unit tests","PostgreSQL","No, not planning to adopt / migrate","Amazon Web Services","All day long"
"500",5489,"English","external","Mexico","30-39","Windows","Mobile","Windows","Windows","No, not planning to adopt / migrate","C#","No","MS SQL Server","Oracle Database","Locally","Several times a week"
"501",5501,"Polish","external","Poland","18-20","Windows","Mobile","Android","Windows","No, not planning to adopt / migrate","Java","Yes, I write unit tests","MS SQL Server","No, not planning to adopt / migrate","Locally","Several times a day"
"502",5509,"Korean","internal","South Korea","30-39","Windows","Web Front-end","Windows","Windows","Scala","Java","Yes, I write unit tests","MySQL","No, not planning to adopt / migrate","Private Servers","Several times a day"
"503",5512,"English","internal","United States","30-39","Windows","Web Back-end","Android","Windows","Swift","Java","Yes, I write unit tests","MySQL","Yes, planning to adopt / migrate to other database(s) - Write in:","Amazon Web Services","All day long"
"504",5514,"German","internal","Germany","40-49","Unix / Linux","Web Back-end","Windows","Windows","Python","Swift","Yes, I write unit tests","MySQL","No, not planning to adopt / migrate","Locally","All day long"
"505",5532,"English","external","Ukraine","30-39","Windows","Web Back-end","Android","Windows","No, not planning to adopt / migrate","JavaScript","No","MySQL","No, not planning to adopt / migrate","Locally","All day long"
"506",5551,"German","internal","Germany","17 or younger","Windows","Mobile","Windows","Windows","C++","Java","No","MS SQL Server","Redis","Locally","Several times a week"
"507",5561,"English","internal","United States","21-29","Windows","Web Back-end","Android","Windows","No, not planning to adopt / migrate","Java","Yes, I write unit tests","MySQL","No, not planning to adopt / migrate","Private Servers","All day long"
"508",5565,"English","external","Germany","21-29","Windows","Web Front-end","Windows","Windows","No, not planning to adopt / migrate","C++","Yes, I write unit tests","MySQL","No, not planning to adopt / migrate","Locally","Several times a day"
"509",5567,"English","internal","Ireland","21-29","Windows","Web Back-end","Windows","Windows","No, not planning to adopt / migrate","C#","No","MS SQL Server","No, not planning to adopt / migrate","Locally","Several times a week"
"510",5580,"Japanese","external","Japan","30-39","Windows","Web Back-end","iOS","Windows","Planning to adopt / migrate to other language(s) - Write in:","Java","Yes, I write unit tests","MySQL","No, not planning to adopt / migrate","Locally","All day long"
"511",5590,"English","internal","United States","30-39","Windows","Web Back-end","Android","Windows","Scala","Java","Yes, I write unit tests","MS SQL Server","No, not planning to adopt / migrate","Locally","All day long"
"512",5605,"English","internal","Israel","30-39","Windows","Web Back-end","Android","Windows","Kotlin","Java","Yes, I write unit tests","MySQL","No, not planning to adopt / migrate","Locally","Less frequently"
"513",5606,"Russian","internal","Ukraine","30-39","Windows","Web Front-end","Android","Windows","No, not planning to adopt / migrate","Other - Write In:","Yes, I write unit tests","MySQL","No, not planning to adopt / migrate","Locally","Several times a week"
"514",5611,"English","external","Philippines","21-29","Windows","Mobile","Windows","Windows","Python","C++","Yes, I write unit tests","MS SQL Server","SQLite","Locally","Several times a week"
"515",5623,"Spanish","external","Argentina","21-29","Windows","Web Back-end","Windows","Windows","No, not planning to adopt / migrate","C#","Yes, I write unit tests","MS SQL Server","No, not planning to adopt / migrate","Locally","Several times a day"
"516",5638,"English","external","United States","30-39","Windows","Web Back-end","iOS","Windows","Python","Scala","Yes, I write unit tests","DB2","HBase","Private Servers","All day long"
"517",5640,"French","internal","France","21-29","Windows","Web Back-end","Android","Windows","No, not planning to adopt / migrate","Python","Yes, I write unit tests","PostgreSQL","No, not planning to adopt / migrate","Locally","Several times a day"
"518",5650,"English","internal","United States","40-49","Windows","Web Back-end","Windows","Windows","No, not planning to adopt / migrate","C#","Yes, I write unit tests","MS SQL Server","SQLite","Locally","All day long"
"519",5651,"English","external","Turkey","21-29","Windows","Web Back-end","Android","Windows","Python","PHP","Yes, I write unit tests","MySQL","Oracle Database","RedHat OpenShift","All day long"
"520",5667,"English","external","Mexico","21-29","Windows","Web Back-end","Android","Windows","CoffeeScript","JavaScript","Yes, I write unit tests","MS SQL Server","No, not planning to adopt / migrate","Amazon Web Services","All day long"
"521",5673,"English","internal","Slovakia","21-29","Unix / Linux","Web Back-end","Android","Windows","No, not planning to adopt / migrate","PHP","Yes, I write unit tests","MS SQL Server","No, not planning to adopt / migrate","Locally","All day long"
"522",5675,"English","internal","United States","40-49","Windows","Mobile","iOS","Windows","C#","C++","Yes, I write unit tests","PostgreSQL","Cassandra","Locally","Several times a week"
"523",5676,"English","internal","Lithuania","30-39","Windows","Web Back-end","Windows","Windows","No, not planning to adopt / migrate","PHP","Yes, I write unit tests","MySQL","No, not planning to adopt / migrate","Private Servers","All day long"
"524",5679,"English","internal","United Kingdom","17 or younger","Unix / Linux","Web Back-end","Android","Windows","Kotlin","Java","No","MySQL","No, not planning to adopt / migrate","Locally","Several times a week"
"525",5693,"Portuguese","external","Brazil","40-49","Windows","Web Back-end","Android","Windows","No, not planning to adopt / migrate","C#","Yes, I write unit tests","MS SQL Server","Redis","Amazon Web Services","All day long"
"526",5708,"Russian","external","Ukraine","30-39","Windows","Mobile","Windows","Windows","No, not planning to adopt / migrate","C#","No","MySQL","No, not planning to adopt / migrate","Private Servers","Several times a day"
"527",5709,"English","internal","Albania","30-39","Windows","Web Back-end","Windows","Windows","No, not planning to adopt / migrate","Java","Yes, I write unit tests","MS SQL Server","No, not planning to adopt / migrate","Locally","Several times a day"
"528",5723,"Chinese (s","external","China","21-29","Windows","Web Back-end","Windows","Windows","No, not planning to adopt / migrate","Java","Yes, I use unit tests, but I don't write them","Redis","No, not planning to adopt / migrate","Locally","Several times a day"
"529",5724,"Russian","internal","Russia","21-29","Windows","Web Back-end","Android","Windows","No, not planning to adopt / migrate","JavaScript","Yes, I write unit tests","PostgreSQL","No, not planning to adopt / migrate","Private Servers","Several times a day"
"530",5738,"English","internal","Germany","30-39","Windows","Web Back-end","Android","Windows","No, not planning to adopt / migrate","C++","No","MySQL","Redis","Locally","Less frequently"
"531",5745,"English","internal","United States","40-49","Windows","Web Back-end","Windows","Windows","Go","C#","Yes, I write unit tests","MS SQL Server","Yes, planning to adopt / migrate to other database(s) - Write in:","Locally","All day long"
"532",5749,"English","internal","Israel","30-39","Windows","Web Back-end","Windows","Windows","Python","JavaScript","Yes, I write unit tests","MS SQL Server","Redis","Locally","All day long"
"533",5750,"Turkish","external","Turkey","30-39","Windows","Web Back-end","Android","Windows","Python","Java","Yes, I write unit tests","MySQL","Redis","Locally","All day long"
"534",5792,"Turkish","external","Turkey","21-29","Windows","Mobile","Windows","Windows","JavaScript","C#","Yes, I write unit tests","MySQL","No, not planning to adopt / migrate","Private Servers","All day long"
"535",5797,"Russian","internal","Russia","30-39","Windows","Web Back-end","Android","Windows","No, not planning to adopt / migrate","Java","Yes, I use unit tests, but I don't write them","PostgreSQL","No, not planning to adopt / migrate","Amazon Web Services","Several times a week"
"536",5808,"English","external","Argentina","40-49","Windows","Web Back-end","Android","Windows","No, not planning to adopt / migrate","TypeScript","No","MS SQL Server","No, not planning to adopt / migrate","Private Servers","All day long"
"537",5809,"English","internal","Norway","30-39","macOS","Mobile","iOS","Unix / Linux","No, not planning to adopt / migrate","Swift","Yes, I write unit tests","Other - Write In:","No, not planning to adopt / migrate","Locally","Several times a day"
"538",5812,"Spanish","external","Argentina","50-59","Windows","Web Back-end","Android","Windows","No, not planning to adopt / migrate","Other - Write In:","Yes, I write unit tests","DB2","No, not planning to adopt / migrate","Private Servers","Never"
"539",5813,"Polish","external","Poland","21-29","Windows","Web Back-end","Android","Windows","No, not planning to adopt / migrate","Java","Yes, I write unit tests","MySQL","No, not planning to adopt / migrate","Locally","All day long"
"540",5819,"English","internal","Netherlands","21-29","Windows","Web Back-end","Windows","Windows","Go","PHP","Yes, I write unit tests","SQLite","No, not planning to adopt / migrate","Locally","Several times a day"
"541",5821,"Portuguese","external","Brazil","30-39","Windows","Web Front-end","Windows","Windows","Planning to adopt / migrate to other language(s) - Write in:","Python","Yes, I write unit tests","DB2","No, not planning to adopt / migrate","Locally","Less frequently"
"542",5858,"English","internal","United Kingdom","40-49","Windows","Web Back-end","Android","Windows","No, not planning to adopt / migrate","C#","Yes, I write unit tests","MS SQL Server","No, not planning to adopt / migrate","Locally","Several times a day"
"543",5863,"English","internal","United Kingdom","40-49","Windows","Web Back-end","Android","Windows","No, not planning to adopt / migrate","Java","Yes, I write unit tests","MS SQL Server","No, not planning to adopt / migrate","Microsoft Azure","All day long"
"544",5873,"English","external","Spain","40-49","Windows","Web Back-end","Android","Windows","No, not planning to adopt / migrate","PHP","Yes, I write unit tests","MS SQL Server","No, not planning to adopt / migrate","Locally","Less frequently"
"545",5874,"English","internal","Ireland","50-59","Windows","Web Back-end","Windows","Windows","Java","Visual Basic","No","MS SQL Server","MySQL","Locally","Several times a day"
"546",5875,"English","external","Germany","21-29","Windows","Web Back-end","Android","Windows","PHP","JavaScript","Yes, I write unit tests","MySQL","No, not planning to adopt / migrate","Private Servers","Several times a day"
"547",5882,"German","internal","Germany","30-39","Unix / Linux","Web Back-end","Android","Windows","TypeScript","Python","Yes, I write unit tests","MySQL","Redis","Locally","Several times a day"
"548",5895,"English","internal","United States","30-39","Unix / Linux","Web Back-end","Android","Unix / Linux","No, not planning to adopt / migrate","PHP","Yes, I write unit tests","MySQL","No, not planning to adopt / migrate","Locally","All day long"
"549",5920,"English","internal","Netherlands","30-39","Windows","Web Back-end","Windows","Windows","TypeScript","C++","Yes, I write unit tests","MySQL","No, not planning to adopt / migrate","Locally","Several times a day"
"550",5926,"English","external","United Kingdom","21-29","Windows","Web Back-end","Android","Windows","No, not planning to adopt / migrate","C#","Yes, I write unit tests","MySQL","No, not planning to adopt / migrate","Locally","All day long"
"551",5936,"English","internal","Indonesia","21-29","Unix / Linux","Mobile","Android","Windows","Python","JavaScript","No","MySQL","No, not planning to adopt / migrate","Heroku","Several times a week"
"552",5942,"Turkish","external","Turkey","30-39","Windows","Web Front-end","Android","Windows","Ruby","PHP","Yes, I use unit tests, but I don't write them","MS SQL Server","No, not planning to adopt / migrate","Locally","Less frequently"
"553",5947,"English","internal","Lithuania","30-39","Windows","Web Back-end","Android","Windows","No, not planning to adopt / migrate","Java","Yes, I write unit tests","PostgreSQL","No, not planning to adopt / migrate","Locally","All day long"
"554",5980,"English","internal","Germany","40-49","Windows","Web Front-end","Android","Windows","No, not planning to adopt / migrate","Java","Yes, I write unit tests","Oracle Database","No, not planning to adopt / migrate","Private Servers","All day long"
"555",5984,"English","internal","Canada","50-59","Windows","Web Back-end","Android","Windows","Python","Other - Write In:","Yes, I write unit tests","MS SQL Server","Couchbase","Locally","Several times a day"
"556",5989,"English","external","Argentina","30-39","Windows","Mobile","Windows","Windows","No, not planning to adopt / migrate","Delphi","No","MS SQL Server","No, not planning to adopt / migrate","Locally","All day long"
"557",5994,"English","internal","Poland","21-29","Windows","Web Back-end","Windows","Windows","TypeScript","PHP","No","MS SQL Server","No, not planning to adopt / migrate","Locally","Several times a day"
"558",6018,"Polish","external","Poland","30-39","Windows","Web Back-end","Android","macOS","Elixir","Python","Yes, I write unit tests","MySQL","No, not planning to adopt / migrate","Google Cloud Platform","All day long"
"559",6021,"French","external","France","21-29","Windows","Web Back-end","Android","Windows","Go","C#","Yes, I write unit tests","MySQL","No, not planning to adopt / migrate","Private Servers","Several times a day"
"560",6026,"English","external","India","30-39","Windows","Web Back-end","Windows","Windows","Visual Basic","HTML / CSS","Yes, I write unit tests","MySQL","MS SQL Server","Private Servers","Less frequently"
"561",6037,"Turkish","external","Turkey","30-39","Windows","Web Front-end","Windows","Windows","No, not planning to adopt / migrate","C#","No","MS SQL Server","No, not planning to adopt / migrate","Locally","Never"
"562",6038,"Portuguese","external","Brazil","30-39","Windows","Web Back-end","Android","Windows","No, not planning to adopt / migrate","Other - Write In:","Yes, I write unit tests","MS SQL Server","No, not planning to adopt / migrate","Locally","All day long"
"563",6043,"Spanish","external","Argentina","21-29","Windows","Mobile","Windows","Windows","Python","JavaScript","Yes, I use unit tests, but I don't write them","Oracle Database","No, not planning to adopt / migrate","Locally","Several times a week"
"564",6058,"German","internal","Germany","30-39","macOS","Web Back-end","Android","Windows","No, not planning to adopt / migrate","Python","Yes, I write unit tests","MS SQL Server","No, not planning to adopt / migrate","Locally","All day long"
"565",6059,"Polish","internal","Poland","21-29","Windows","Web Back-end","Android","Windows","No, not planning to adopt / migrate","Java","Yes, I write unit tests","MySQL","No, not planning to adopt / migrate","Locally","All day long"
"566",6062,"Russian","internal","Russia","21-29","Windows","Web Back-end","Android","Windows","JavaScript","Java","No","Oracle Database","MySQL","Locally","Several times a week"
"567",6065,"English","internal","United Kingdom","21-29","Unix / Linux","Web Back-end","Android","Unix / Linux","No, not planning to adopt / migrate","Go","Yes, I write unit tests","MySQL","Redis","Private Servers","All day long"
"568",6075,"English","external","India","30-39","Unix / Linux","Mobile","Other - Write In:","Windows","No, not planning to adopt / migrate","C++","Yes, I write unit tests","DB2","No, not planning to adopt / migrate","Locally","Never"
"569",6076,"Polish","internal","Poland","18-20","Unix / Linux","Web Back-end","Android","Unix / Linux","No, not planning to adopt / migrate","Python","No","MySQL","No, not planning to adopt / migrate","Locally","Several times a day"
"570",6081,"Portuguese","external","Brazil","30-39","Windows","Web Back-end","Windows","Windows","No, not planning to adopt / migrate","C#","No","MS SQL Server","MongoDB","Private Servers","Less frequently"
"571",6089,"Spanish","internal","Spain","30-39","Windows","Web Back-end","Android","Windows","Planning to adopt / migrate to other language(s) - Write in:","Python","No","MySQL","No, not planning to adopt / migrate","Locally","Several times a day"
"572",6095,"English","external","Canada","40-49","Windows","Mobile","Android","Windows","No, not planning to adopt / migrate","C#","No","MS SQL Server","No, not planning to adopt / migrate","Private Servers","Several times a day"
"573",6104,"English","internal","Canada","50-59","Windows","Web Back-end","Android","Windows","No, not planning to adopt / migrate","PHP","Yes, I use unit tests, but I don't write them","MS SQL Server","MongoDB","Locally","Never"
"574",6114,"Spanish","external","Mexico","21-29","Windows","Web Back-end","Windows","Windows","Ruby","C#","No","MS SQL Server","MongoDB","Locally","Several times a day"
"575",6129,"English","internal","Germany","21-29","macOS","Web Back-end","Android","Windows","Elixir","PHP","Yes, I write unit tests","MySQL","MongoDB","Locally","All day long"
"576",6145,"English","external","United Kingdom","50-59","Windows","Web Back-end","Android","Windows","Swift","Python","Yes, I write unit tests","MySQL","No, not planning to adopt / migrate","Private Servers","Never"
"577",6148,"German","internal","Germany","30-39","Windows","Web Back-end","Android","Windows","No, not planning to adopt / migrate","PHP","Yes, I write unit tests","MySQL","No, not planning to adopt / migrate","Locally","Several times a day"
"578",6149,"English","internal","United States","50-59","Windows","Mobile","Android","Windows","No, not planning to adopt / migrate","Objective-C","No","MS SQL Server","No, not planning to adopt / migrate","Private Servers","All day long"
"579",6153,"English","internal","Colombia","40-49","Unix / Linux","Web Front-end","Windows","Windows","No, not planning to adopt / migrate","Java","Yes, I write unit tests","MS SQL Server","No, not planning to adopt / migrate","Locally","All day long"
"580",6163,"English","internal","United States","60 or older","Windows","Web Front-end","Android","Windows","No, not planning to adopt / migrate","TypeScript","Yes, I write unit tests","SQLite","No, not planning to adopt / migrate","Locally","All day long"
"581",6177,"English","external","Mexico","18-20","Unix / Linux","Mobile","Android","Windows","Haskell","C++","Yes, I write unit tests","MySQL","PostgreSQL","Locally","Several times a week"
"582",6182,"Spanish","external","Mexico","18-20","Windows","Mobile","Android","Windows","Python","HTML / CSS","No","MS SQL Server","Oracle Database","Microsoft Azure","Less frequently"
"583",6186,"English","external","Turkey","21-29","macOS","Web Back-end","iOS","Windows","JavaScript","Java","Yes, I write unit tests","DB2","No, not planning to adopt / migrate","Locally","Several times a day"
"584",6192,"English","internal","Sweden","40-49","Windows","Web Back-end","Android","Windows","C#","Java","No","PostgreSQL","No, not planning to adopt / migrate","Locally","All day long"
"585",6258,"English","external","United States","50-59","Windows","Web Back-end","Android","Windows","No, not planning to adopt / migrate","Python","No","SQLite","No, not planning to adopt / migrate","Locally","Several times a week"
"586",6273,"English","internal","Ukraine","17 or younger","Unix / Linux","Web Back-end","Android","Unix / Linux","Haskell","C","Yes, I write unit tests","MySQL","No, not planning to adopt / migrate","Locally","Several times a day"
"587",6290,"English","internal","Hong Kong","30-39","Windows","Web Back-end","Android","Windows","No, not planning to adopt / migrate","C#","Yes, I write unit tests","MS SQL Server","Redis","Locally","All day long"
"588",6300,"English","external","China","18-20","Windows","Web Back-end","Android","Windows","No, not planning to adopt / migrate","Java","No","MySQL","Oracle Database","Locally","All day long"
"589",6303,"English","external","United States","50-59","Windows","Web Front-end","Windows","Windows","No, not planning to adopt / migrate","C#","Yes, I write unit tests","MS SQL Server","Yes, planning to adopt / migrate to other database(s) - Write in:","Microsoft Azure","Several times a week"
"590",6304,"Spanish","internal","Mexico","30-39","Windows","Web Back-end","Windows","Windows","No, not planning to adopt / migrate","JavaScript","No","MySQL","No, not planning to adopt / migrate","Amazon Web Services","Several times a day"
"591",6316,"Russian","internal","Russia","21-29","Windows","Mobile","Windows","Windows","TypeScript","C#","Yes, I write unit tests","MS SQL Server","SQLite","Locally","All day long"
"592",6323,"Korean","external","South Korea","30-39","Windows","Web Back-end","Android","Windows","No, not planning to adopt / migrate","Java","Yes, I use unit tests, but I don't write them","MySQL","Yes, planning to adopt / migrate to other database(s) - Write in:","Locally","All day long"
"593",6329,"English","internal","Germany","18-20","Windows","Web Back-end","Android","Windows","JavaScript","Java","Yes, I write unit tests","PostgreSQL","No, not planning to adopt / migrate","Locally","Less frequently"
"594",6332,"Polish","external","Poland","21-29","Windows","Mobile","Windows","Windows","TypeScript","C#","Yes, I write unit tests","MS SQL Server","No, not planning to adopt / migrate","Locally","Several times a day"
"595",6333,"English","internal","United States","50-59","Windows","Web Back-end","Android","Windows","Go","Java","Yes, I write unit tests","Oracle Database","PostgreSQL","Locally","All day long"
"596",6356,"English","external","United Kingdom","30-39","Windows","Web Back-end","Android","Windows","No, not planning to adopt / migrate","C#","Yes, I write unit tests","MS SQL Server","Yes, planning to adopt / migrate to other database(s) - Write in:","Locally","Several times a day"
"597",6365,"Spanish","external","Argentina","21-29","Windows","Web Front-end","Windows","Windows","No, not planning to adopt / migrate","C#","Yes, I use unit tests, but I don't write them","MS SQL Server","No, not planning to adopt / migrate","Locally","Never"
"598",6387,"German","external","Germany","21-29","Windows","Web Back-end","Android","Windows","Go","PHP","No","MySQL","No, not planning to adopt / migrate","Locally","Several times a day"
